Остаточные дыры после проверки прайсами
"Открытые строки требуют подтверждения оператора, закрытые уже учтены в стандарте. Имена операторов обезличены."
severity,code,source,issue,proposed_fix,status
P0,SRC-CALC-001,калькулятор оператора,"Текст тарифов использует вес, но калькулятор оператора не содержит поля веса и классифицирует только по сумме сторон.",Хранить отдельно CALCULATOR_V2_LABEL и CALCULATOR_V2_ACTUAL; запросить у оператора договорную логику.,open
P0,SRC-PIK-001,оператор B,Размерный профиль имеет непокрытый интервал веса >5 и <=7 кг и неоднозначные границы по стороне.,Не публиковать автоматический расчёт для непокрытых комбинаций; запросить уточнение.,open
P1,MODEL-STORAGE-001,оператор A,Бесплатные первые 14 суток требуют контекста storage_age_days и ступенчатого правила по возрасту партии.,Добавить storage_age_days в реестр условий и правило бесплатного периода.,resolved
P1,MODEL-SCHEDULE-001,оператор A,График доставок по дням недели не представлен сущностями route_schedules.,Добавить маршруты и недельные окна доступности.,resolved
P1,SRC-PIK-002,оператор B,Часть доставок содержит пустую цену.,Импортировать как manual_quote/missing_price и не трактовать как ноль.,open
P1,SRC-ALL-001,операторы A и B,Режим НДС и дата действия прайса явно не указаны.,Статус источника draft до подтверждения vat_mode и effective_from.,open
P2,CAT-REAL-001,Все источники,"Реальные прайсы требуют атомарных услуг photo_documentation, carton_sealing, document_printing, outer_packaging_removal и order_correction.",Добавить услуги в каталог и связать с параметрами/метриками.,resolved
P2,PARAM-REAL-001,операторы A и B,Нужны параметры inventory_rotation_method и pickup_source.,Добавить параметры и связи услуг.,resolved
P0,SRC-NORM-001,нормализованный CSV,В файле представлены 18 из 22 операторов; отсутствуют четыре оператора.,Повторный импорт с OCR и обязательной трассировкой источника.,open
P1,SRC-NORM-002,нормализованный CSV,"Есть пустые цены и нет ссылки на файл, страницу или ячейку источника.","Хранить source_id, source_location и missing_price/manual_quote.",open
P1,SRC-NORM-003,нормализованный CSV,"Не выделены service_code, billing_metric, метод цены, валюта, НДС и период действия.",Мигрировать строки в структуру «Импорт прайсов» и версионированные price_rules.,open
P1,MODEL-STORAGE-002,оператор A и его калькулятор,"Ступенчатая цена хранения по сроку не выражалась: у price_tiers не было ни режима применения, ни шкалы срока — бесплатный период приходилось кодировать одиночным условием.","Добавить tier_mode/tier_variable/tier_scope, реестры переменных и областей диапазонов, storage_age_days и storage_stay_days как шкалы.",resolved
P1,MODEL-TIER-001,Рынок ФФ,"Разная цена первой и последующих единиц одного товара не выражалась: не было ни порядкового номера единицы, ни области группировки по товару.","Добавить unit_sequence, области order_sku/supply_sku/batch и режим progressive.",resolved
P1,SRC-TIER-001,Все источники,Ни один из 165 импортированных тарифных вариантов не размечен как tiered: ступени по сроку и по количеству свёрнуты в плоские ставки с условиями либо потеряны при разборе.,Пере-разметить импорт: строки со ступенями перевести на calculation_method=tiered с заполненными tier_mode/tier_variable/tier_scope.,resolved
P1,SRC-PIK-003,оператор B,"Матрица цены за заказ по числу хрупких товаров задаёт точки 1/2/4/6/8; цена для промежуточных количеств (3, 5, 7) в источнике отсутствует.","Ступени размечены полуоткрытыми диапазонами [1;2), [2;4), [4;6), [6;8), [8;∞) — запросить у оператора подтверждение границ.",open
P1,MODEL-ADJ-001,оператор B,"Строка «срочная сборка ×2» — это модификатор цены, а не метод расчёта: в импорте она была размечена calculation_method=adjustment, значения вне закрытого списка методов.",Разделить цель нормализации: колонки target_entity (price_rule / price_adjustment) и adjustment_type; проверять метод расчёта только у строк-правил.,resolved
P1,CORE-DEST-001,Реестр пунктов назначения,"Реестр пунктов назначения нужно собирать из официальных справочников маркетплейсов, а не по названиям из прайсов: «Коледино» и «Каледино» в двух прайсах — один и тот же склад.",Собран скриптом из справочников WB (склады поставок и точки сдачи FBS) и Ozon (кластеры): 1039 пунктов с идентификаторами маркетплейсов.,resolved
